Sku,Name,CostPrice,SellPrice,Quantity,Billable,Description
DOR_VNL_OSD_MTM,OS Doors - Vinyl Doors - Made to Measure,0,0,1,FALSE,OS Doors - Vinyl Doors - Made to Measure
9071207,Sensys 8645i Base -4 inset TH 52 screw on,0,0,2,FALSE,Sensys 8645i Base -4 inset TH 52 screw on
9075081,Cross mounting plate with premounted Euro screws,0,0,2,FALSE,Cross mounting plate with premounted Euro screws
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,13.5,0,1,FALSE,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing
HNG_105_FFF_75B155,Blumotion 107 hinge,1.5,0,14,FALSE,Clip Top Blumotion Hinge 107 Screw On
HNG_PLT_FFF_173H710,Blum hinge plate,0.36,0,14,FALSE,Blum Clip On Cam Adjustment 0mm Plate
282.13.701,Glass Shelf Support screw fixing,0,0,24,FALSE,Glass Shelf Support screw fixing
K01-1037ALOP9WW,Smart Recessed Lighting Profile - Aluminium - Warm,0,0,10,FALSE,Smart Recessed Lighting Profile - Aluminium - Warm
N28-0006,Hidden Dimmer Touch Sensor Switch,0,0,2,FALSE,Hidden Dimmer Touch Sensor Switch
N28-0166SBK,LED PIR Sensor Switch,0,0,1,FALSE,LED PIR Sensor Switch
SQR_71_CLEAR,Square Industrial Leg - Clear,0,0,1,FALSE,Square Industrial Leg - Clear
DRW_SET_HAF_516.25.302,Matrix Drawer - 350mmD x 199mmH Black,15,0,2,FALSE,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing
DRW_SET_HAF_516.25.304,Matrix Drawer - 450mmD x 199mmH Black,14.75,0,4,FALSE,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing
HAN_BAS_FFF_FPBAS160AB,Base Handle Antique Brown 160cc,5.07,0,2,FALSE,Furnipart Base Handle Antique Brown 160cc L172
HAN_BAS_FFF_FPBAS320AB,Base Handle Antique Brown 320cc,9.73,0,10,FALSE,Furnipart Base Handle Antique Brown 320cc L332
HRL_BAR_HAF_801.19.243,Wardrobe Rail,3.105,0,1,FALSE,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome)
LGT_DRV_TLW_K10-1250-PLUG3A,12V LED Driver - 50W c/w micro connector & 3A Plug,17.52,0,3,FALSE,12V LED Driver - 50W c/w micro connector & 3A Plug
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,0.16,0,9,FALSE,Plinth Clip for Hafele AXILO 78 Plinth System
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,0.66,0,18,FALSE,AXILO 78 - Foot and Shaft Section
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,0.3,0,18,FALSE,AXILO 78 - Plinth Foot Top Section
