BARCODE,MATNAME,CLENG,CWIDTH,CNT,GRAIN,CUSTOMER,ORDERNAME,ARTICLENAME,PARTDESC,PRFID1,PRFID3,PRFID4,PRFID2
Board,SHT_MFC_EGG_H1384ST40_18_,2800,250,5,Y,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_H1384ST40_18_,2800,500,4,Y,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_H1384ST40_18_,2800,680,4,Y,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_H1384ST40_18_,2800,1000,4,Y,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Lid,SHT_MFC_EGG_H1384ST40_18_,660.0,295.0,1.0,Y,BFS-NR-411966,21931,MNICHE_10,Lid,Sliderobe_Edge_08,,Sliderobe_Edge_08,
Lid,SHT_MFC_EGG_H1384ST40_18_,1005.0,680.0,1.0,Y,BFS-NR-411966,21931,MNICHE_57,Lid,Sliderobe_Edge_08,,Sliderobe_Edge_08,
Lid,SHT_MFC_EGG_H1384ST40_18_,1995.0,680.0,1.0,Y,BFS-NR-411966,21931,MNICHE_57,Lid,Sliderobe_Edge_08,,Sliderobe_Edge_08,
Board,SHT_MFC_EGG_U727ST9_18_,2800,250,3,N,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Board,SHT_MFC_EGG_U727ST9_18_,2800,500,13,N,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,,,
Board,SHT_MFC_EGG_U727ST9_18_,2800,1000,4,N,BFS-NR-411966,21931,,Board,Sliderobe_Edge_08,Sliderobe_Edge_08,,
Drawer Front,SHT_MFC_EGG_U727ST9_18_,447.5,175.0,4.0,N,BFS-NR-411966,21931,MNICHE_57,Drawer Front,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
Drawer Front,SHT_MFC_EGG_U727ST9_18_,447.5,120.0,1.0,N,BFS-NR-411966,21931,MNICHE_57,Drawer Front,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08,Sliderobe_Edge_08
