Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,1.00,FALSE
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.20,0.00,6.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,3.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,6.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,6.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,12.00,FALSE
SLD_DEB_RAU_10.07.020,Dust Excluding Brush - Grey,Dust Excluding Brush - Grey,0.74,0.00,15.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,7.00,FALSE
SLD_GKT_RAU_10.07.034,Gasket - 8mm - transparent,Gasket - 8mm - transparent,0.47,0.00,14.00,FALSE
SLD_ANS_RAU_15.01.020,S750 - Anodised Silver,S750 - Anodised Silver,18.82,0.00,3.00,FALSE
SLD_BRS_RAU_15.04.020,Bottom rail - Silver,Bottom rail - Silver,25.48,0.00,1.00,FALSE
SLD_TRSI_RAU_15.12.020,Top Rail - Silver,Top Rail - Silver,13.31,0.00,1.00,FALSE
SLD_BTSI_RAU_15.33.020,Bottom Track Triple Surface Silver,Bottom Track Triple Surface Silver,21.72,0.00,1.00,FALSE
SLD_TTSI_RAU_15.35.020,Top Track Triple S34 40mm Silver,"Top Track Triple S34, 40mm Silver",48.77,0.00,1.00,FALSE
