Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,23.00,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,31.00,FALSE
CBL_OUT_HAF_429.99.379,Cable Outlet - 98 x 242mm - Black,Auto-created from CSV upload,0.00,0.00,1.00,FALSE
ACO_PAN_TIM_CHA,Acoustic Slat Panel - Wenge,Auto-created from CSV upload,0.00,0.00,1.00,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.50,0.00,4.00,FALSE
HAN_BAR_HAF_101.21.024,Harlington T-BAR Matt Black,Harlington T-BAR Knob 80mm knurled Matt Black,2.00,0.00,7.00,FALSE
HAN_PUL_HAF_101.21.012,Harlington 240mm Pull Matt Black,Harlington 240mm Pull Handle knurled Matt Black,3.50,0.00,8.00,FALSE
HAN_PUL_HAF_101.21.016,Harlington 400mm Pull Matt Black,Harlington 400mm Pull Handle knurled Matt Black,6.00,0.00,3.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,3.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,24.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,24.00,FALSE
