Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_PLT_FFF_173H710,Blum hinge plate,8.0,MISSING,,,
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.5,0.0,31.0,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.0,23.0,FALSE
429.99.379,Cable Outlet - 98 x 242mm - Black,1.0,MISSING,,,
ASP_WENGE,Acoustic Slat Panel - Wenge,5.0,MISSING,,,
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0,3.0,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0.0,4.0,FALSE
HAN_BAR_HAF_101.21.024,Harlington T-BAR Matt Black,Harlington T-BAR Knob 80mm knurled Matt Black,2.0,0.0,7.0,FALSE
HAN_PUL_HAF_101.21.012,Harlington 240mm Pull Matt Black,Harlington 240mm Pull Handle knurled Matt Black,3.5,0.0,8.0,FALSE
HAN_PUL_HAF_101.21.016,Harlington 400mm Pull Matt Black,Harlington 400mm Pull Handle knurled Matt Black,6.0,0.0,3.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0.0,3.0,FALSE
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,Plinth Clip for Hafele AXILO 78 Plinth System,0.16,0.0,12.0,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.0,24.0,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.3,0.0,24.0,FALSE
