Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,2.00,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.00,2.00,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.20,0.00,4.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,2.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,4.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,4.00,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.00,8.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,8.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,12.00,FALSE
SLD_DEB_RAU_10.07.220,Dust Excluding Brush - Black,Dust Excluding Brush - Black,0.74,0.00,8.00,FALSE
SLD_CRS_RAU_13.33.065,Cross Strips (Dividing Rail Glued) - Black Mat,Cross Strips (Dividing Rail Glued) - Black Mat,11.18,0.00,1.00,FALSE
SLD_BRB_RAU_15.04.065,Bottom rail - Black Mat,Bottom rail - Black Mat,36.77,0.00,1.00,FALSE
SLD_BTMB_RAU_15.05.065,Bottom Track Double Surface Black Mat,Bottom Track Double Surface Black Mat,21.88,0.00,1.00,FALSE
SLD_BLMT_RAU_15.11.066,S751 - Black Mat,S751 - Black Mat,26.09,0.00,2.00,FALSE
SLD_TRBM_RAU_15.12.065,Top Rail - Black Mat,Top Rail - Black Mat,18.76,0.00,1.00,FALSE
SLD_TTBM_RAU_15.25.065,Top Track Double S34 40mm Black Mat,"Top Track Double S34, 40mm Black Mat",38.12,0.00,1.00,FALSE
SLD_DST_RAU_25.12.046,Double Sided Tape,Double Sided Tape,0.21,0.00,1.00,FALSE
