Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,16.00,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,16.00,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.50,0.00,2.00,FALSE
HAN_BAS_FFF_FPBAS160AB,Base Handle Antique Brown 160cc,Furnipart Base Handle Antique Brown 160cc L172,5.07,0.00,2.00,FALSE
HAN_BAS_FFF_FPBAS320AB,Base Handle Antique Brown 320cc,Furnipart Base Handle Antique Brown 320cc L332,9.73,0.00,4.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,1.00,FALSE
PUL_TIE_HAF_807.21.930,Pull Out Tie Rack Depth 505-520 mm,Pull Out Tie Rack Depth 505-520 mm,35.14,0.00,1.00,FALSE
HRL_PDR_HAF_805.20.081,Pull Down Wardrobe Rail 600-1000mm,Pull Down Wardrobe Rail 600-1000mm,60.00,0.00,1.00,FALSE
HRL_PDR_HAF_805.20.081,Pull Down Hanging Rail (600-1000mm - Hafele),Auto-created from CSV upload,0.00,0.00,1.00,FALSE
PUL_TIE_HAF_807.21.930,Pull Out Tie Rack Depth 505-520 mm,Auto-created from CSV upload,0.00,0.00,1.00,FALSE
