Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
DOR_VNL_OSD_MTM,OS Doors - Vinyl Doors - Made to Measure,OS Doors - Vinyl Doors - Made to Measure,0,0,1,FALSE
GLS_MIR_FSG_BRON_1070,Bronze Mirror 4mm Safety Backed 2550 x 1070,Bronze Mirror 4mm Safety Backed 2550 x 1070,87.31,0.0,2.0,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.5,0.0,18.0,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.0,18.0,FALSE
K01-1037ALOP9WW,Smart Recessed Lighting Profile - Aluminium - Warm,9.0,MISSING
N28-0006,Hidden Dimmer Touch Sensor Switch,3.0,MISSING
DRW_SET_HAF_516.25.304,Matrix Drawer - 450mmD x 199mmH Black,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing,14.75,0.0,6.0,FALSE
HAN_BAS_FFF_FPBAS160AB,Base Handle Antique Brown 160cc,Furnipart Base Handle Antique Brown 160cc L172,5.07,0.0,9.0,FALSE
HAN_BAS_FFF_FPBAS320AB,Base Handle Antique Brown 320cc,Furnipart Base Handle Antique Brown 320cc L332,9.73,0.0,4.0,FALSE
LGT_DRV_TLW_K10-1220-PLUG3A,12V LED Driver - 15W c/w micro connector & 3A Plug,12V LED Driver - 15W c/w micro connector & 3A Plug,7.54,0.0,1.0,FALSE
LGT_DRV_TLW_K10-1230-PLUG3A,12V LED Driver - 30W c/w micro connector & 3A Plug,12V LED Driver - 30W c/w micro connector & 3A Plug,13.58,0.0,2.0,FALSE
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,Plinth Clip for Hafele AXILO 78 Plinth System,0.16,0.0,10.0,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.0,20.0,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.3,0.0,20.0,FALSE
