Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.2,0,6.0,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0,3.0,FALSE
SLD_DBC_RAU_10.01.039,Dust Brush Clip,Dust Brush Clip,0.07,0,12.0,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0,6.0,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0,6.0,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0,12.0,FALSE
SLD_DEB_RAU_10.07.020,Dust Excluding Brush - Grey,Dust Excluding Brush - Grey,0.74,0,14,FALSE
SLD_GKT_RAU_10.07.034,Gasket - 8mm - transparent,Gasket - 8mm - transparent,0.47,0,19,FALSE
SLD_ANS_RAU_15.01.020,S750 - Anodised Silver,S750 - Anodised Silver,18.82,0,3,FALSE
SLD_BRS_RAU_15.04.020,Bottom rail - Silver,Bottom rail - Silver,25.48,0,1,FALSE
SLD_BTSI_RAU_15.05.020,Bottom Track Double Surface Silver,Bottom Track Double Surface Silver,15.77,0,1,FALSE
SLD_TRSI_RAU_15.12.020,Top Rail - Silver,Top Rail - Silver,13.31,0,1,FALSE
SLD_TTSI_RAU_15.25.020,Top Track Double S34 40mm Silver,"Top Track Double S34, 40mm Silver",30.98,0,1,FALSE
BSK_400_HAF_805.92.208,Wire PO Basket 400mm Chrome,Auto-created from CSV upload,0.00,0,1,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0,3.0,FALSE
DRW_SET_HAF_516.25.304,Matrix Drawer - 450mmD x 199mmH Black,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing,14.75,0,1.0,FALSE
HAN_BAS_FFF_FPBAS160IL,Base Handle Inox look 160cc,Furnipart Base Handle Inox look 160cc L172,4.85,0,4.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0,3.0,FALSE
