Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1070,Silver Mirror 4mm Safety backed 2440 x 1070,Silver Mirror 4mm 2440 x 1070,32.64,0.00,1.00,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,1.00,FALSE
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.20,0.00,6.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,3.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,6.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,6.00,FALSE
SLD_SDR_RAU_10.07.008,Screw Dividing Rail,Screw Dividing Rail,0.16,0.00,4.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,12.00,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.00,6.00,FALSE
SLD_GKT_RAU_10.07.034,Gasket - 8mm - transparent,Gasket - 8mm - transparent,0.47,0.00,15.00,FALSE
SLD_DEB_RAU_10.07.320,Dust Excluding Brush - Beige,Dust Excluding Brush - Beige,0.74,0.00,15.00,FALSE
SLD_DVR_RAU_13.22.030,Dividing Rail 28mm - Gold,Dividing Rail 28mm - Gold,20.80,0.00,1.00,FALSE
SLD_GLD_RAU_15.01.032,S750 - Gold,S750 - Gold,22.77,0.00,3.00,FALSE
SLD_BRG_RAU_15.04.030,Bottom rail - Gold,Bottom rail - Gold,29.55,0.00,1.00,FALSE
SLD_BTGO_RAU_15.05.030,Bottom Track Double Surface Gold,Bottom Track Double Surface Gold,18.28,0.00,1.00,FALSE
SLD_TRGO_RAU_15.12.030,Top Rail - Gold,Top Rail - Gold,15.30,0.00,1.00,FALSE
SLD_TTGO_RAU_15.25.030,Top Track Double S34 40mm Gold,"Top Track Double S34, 40mm Gold",36.87,0.00,1.00,FALSE
