Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_BLD_FFF_79B955,"Sensys 8639i W90, Corner Hinge, overlay, screw on",Auto-created from CSV upload,0.00,0,1,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.5,0,14.0,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0,16.0,FALSE
DRW_SET_HAF_516.20.304,Matrix Drawer - 450mmD x 89mmH Black,Matrix Box S Slim Drawer Set 35 kg 89 mm High Soft and Smooth Closing,11.0,0,2.0,FALSE
DRW_SET_HAF_516.23.304,Matrix Drawer - 450mmD x 135mmH Black,Matrix Box S Slim Drawer Set 35 kg 135 mm High Soft and Smooth Closing,12.5,0,1.0,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0,1.0,FALSE
HAN_STN_FFF_FPSTA160BB,Station Handle Brushed Brass 160cc,Furnipart Station Handle Brushed Brass 160cc (L190 x W22 x H25mm),5.21,0,10.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0,2.0,FALSE
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,Plinth Clip for Hafele AXILO 78 Plinth System,0.16,0,5.0,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0,10.0,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.3,0,10.0,FALSE
