Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
HNG_105_FFF_75B155,"Sensys 8645i, Base -4, inset, TH 52, screw on",Auto-created from CSV upload,0.00,0,1,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate,0.37,0,1,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.5,0,1.0,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.5,0,14.0,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0,14.0,FALSE
SHF_SPT_HAF_282.13.701,"Glass Shelf Support, screw fixing",Auto-created from CSV upload,0.00,0,1,FALSE
LGT_REC_TLW_K01-1037-2M,Smart Recessed Lighting Profile - Aluminium - Warm,Auto-created from CSV upload,0.00,0,1,FALSE
DMR_SEN_TLW_N28-0006,Hidden Dimmer Touch Sensor Switch,Auto-created from CSV upload,0.00,0,1,FALSE
LED_PIR_TLW_N28-0003BK,LED PIR Sensor Switch,LED PIR Sensor Switch,MISSING,0,1,FALSE
LEG_SQR_HPL_71_CLEAR,Square Industrial Leg - Clear,Auto-created from CSV upload,0.00,0,1,FALSE
DRW_SET_HAF_516.25.302,Matrix Drawer - 350mmD x 199mmH Black,"Matrix Box S Slim Drawer Set, 35 kg, 199 mm High, Soft and Smooth Closing",15.0,0,2.0,FALSE
DRW_SET_HAF_516.25.304,Matrix Drawer - 450mmD x 199mmH Black,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing,14.75,0,4.0,FALSE
HAN_BAS_FFF_FPBAS160AB,Base Handle Antique Brown 160cc,Furnipart Base Handle Antique Brown 160cc L172,5.07,0,2.0,FALSE
HAN_BAS_FFF_FPBAS320AB,Base Handle Antique Brown 320cc,Furnipart Base Handle Antique Brown 320cc L332,9.73,0,10.0,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0,1.0,FALSE
LGT_DRV_TLW_K10-1250-PLUG3A,12V LED Driver - 50W c/w micro connector & 3A Plug,12V LED Driver - 50W c/w micro connector & 3A Plug,17.52,0,3.0,FALSE
PFT_CLP_HAF_637.38.054,Plinth Clip for AXILO,Plinth Clip for Hafele AXILO 78 Plinth System,0.16,0,9.0,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0,18.0,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.3,0,18.0,FALSE
