Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
9071207,"Sensys 8645i, Base -4, inset, TH 52, screw on",2.0,0.00,0.00,0.00,TRUE
9075081,Cross mounting plate with premounted Euro screws,2.0,0.00,0.00,0.00,TRUE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.50,0.00,1.00,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,14.00,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,14.00,FALSE
282.13.701,"Glass Shelf Support, screw fixing",24.0,0.00,0.00,0.00,TRUE
K01-1037ALOP9WW,Smart Recessed Lighting Profile - Aluminium - Warm,10.0,0.00,0.00,0.00,TRUE
N28-0006,Hidden Dimmer Touch Sensor Switch,2.0,0.00,0.00,0.00,TRUE
N28-0166SBK,LED PIR Sensor Switch,1.0,0.00,0.00,0.00,TRUE
SQR_71_CLEAR,Square Industrial Leg - Clear,1.0,0.00,0.00,0.00,TRUE
DRW_SET_HAF_516.25.302,Matrix Drawer - 350mmD x 199mmH Black,"Matrix Box S Slim Drawer Set, 35 kg, 199 mm High, Soft and Smooth Closing",15.00,0.00,2.00,FALSE
DRW_SET_HAF_516.25.304,Matrix Drawer - 450mmD x 199mmH Black,Matrix Box S Slim Drawer Set 35 kg 199 mm High Soft and Smooth Closing,14.75,0.00,4.00,FALSE
HAN_BAS_FFF_FPBAS160AB,Base Handle Antique Brown 160cc,Furnipart Base Handle Antique Brown 160cc L172,5.07,0.00,2.00,FALSE
HAN_BAS_FFF_FPBAS320AB,Base Handle Antique Brown 320cc,Furnipart Base Handle Antique Brown 320cc L332,9.73,0.00,10.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,1.00,FALSE
LGT_DRV_TLW_K10-1250-PLUG3A,12V LED Driver - 50W c/w micro connector & 3A Plug,12V LED Driver - 50W c/w micro connector & 3A Plug,17.52,0.00,3.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,18.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,18.00,FALSE
