Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.00,1.00,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.00,1.00,FALSE
HNG_105_FFF_75B155,Blumotion 107 hinge,Clip Top Blumotion Hinge 107 Screw On,1.50,0.00,12.00,FALSE
HNG_PLT_FFF_173H710,Blum hinge plate,Blum Clip On Cam Adjustment 0mm Plate.,0.36,0.00,12.00,FALSE
LGT_REC_TLW_K01-1037-2M,Smart Recessed Lighting Profile - Aluminium - Warm,Auto-created from CSV upload,0.00,0.00,1.00,FALSE
LED_PIR_TLW_N28-0003BK,LED PIR Sensor Switch,LED PIR Sensor Switch,0.00,0.00,1.00,FALSE
FOR_WAY_TLW_R90-0133,Micro 4way Connector Block,Auto-created from CSV upload,0.00,0.00,1.00,FALSE
ACO_PAN_HWD_HALOAK,Halesworth Oak Acoustic Panelling,Howdens 2.4m x 608mm Halesworth Oak MDF Acoustic Slatted Wall Panelling,51.43,0.00,2.00,FALSE
DRW_SET_HAF_516.20.304,Matrix Drawer - 450mmD x 89mmH Black,Matrix Box S Slim Drawer Set 35 kg 89 mm High Soft and Smooth Closing,11.00,0.00,1.00,FALSE
DRW_SET_HAF_516.24.304,Matrix Drawer - 450mmD x 167mmH Black,Matrix Box S Slim Drawer Set 35 kg 167 mm High Soft and Smooth Closing,13.50,0.00,6.00,FALSE
HAN_PUL_HAF_101.21.011,Harlington 240mm Pull Satin Brass,Harlington 240mm Pull Handle knurled Satin Brass,3.95,0.00,7.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,2.00,FALSE
LGT_DRV_TLW_K10-1230-PLUG3A,12V LED Driver - 30W c/w micro connector & 3A Plug,12V LED Driver - 30W c/w micro connector & 3A Plug,13.58,0.00,2.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,20.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,20.00,FALSE
