Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
SLD_TRR_RAU_10.01.015,Top Roller S150/S750/S753,Top Roller S150/S750/S753,2.20,0.00,6.00,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.00,3.00,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.00,6.00,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.00,6.00,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.00,12.00,FALSE
SLD_GKT_RAU_10.07.034,Gasket - 8mm - transparent,Gasket - 8mm - transparent,0.47,0.00,21.00,FALSE
SLD_DEB_RAU_10.07.335,Dust Excluding Brush - Dark Brown,Dust Excluding Brush - Dark Brown,0.74,0.00,15.00,FALSE
SLD_LBR_RAU_15.01.040,S750 - Light Bronze,S750 - Light Bronze,21.19,0.00,3.00,FALSE
SLD_BRB_RAU_15.04.040,Bottom rail - Light Bronze,Bottom rail - Light Bronze,30.36,0.00,1.00,FALSE
SLD_BTLB_RAU_15.05.040,Bottom Track Double Surface Light Bronze,Bottom Track Double Surface Light Bronze,19.29,0.00,1.00,FALSE
SLD_TRLB_RAU_15.12.040,Top Rail - Light Bronze,Top Rail - Light Bronze,15.73,0.00,1.00,FALSE
SLD_TTLB_RAU_15.25.040,Top Track Double S34 40mm Light Bronze,"Top Track Double S34, 40mm Light Bronze",36.87,0.00,1.00,FALSE
HRL_PDR_HAF_805.20.081,Pull Down Hanging Rail (600-1000mm - Hafele),Auto-created from CSV upload,60.00,0.00,2.00,FALSE
PIV_MIR_HAF_805.75.292,Pull-Out Pivoting Mirror 1153mm,Auto-created from CSV upload,146.69,0.00,1.00,FALSE
LGT_REC_TLW_K01-1037-2M,Smart Recessed Lighting Profile - Aluminium - Warm,Auto-created from CSV upload,11.72,0.00,6.00,FALSE
LED_PIR_TLW_N28-0003BK,LED PIR Sensor Switch,LED PIR Sensor Switch,22.44,0.00,3.00,FALSE
BSK_800_HAF_805.92.203,Pull Out Basket 800mm,Pull Out wire storage basket for 800mm cabinet,40.00,0.00,1.00,FALSE
BSK_900_HAF_805.92.204,Pull Out Basket 900mm,Pull Out wire storage basket for 900mm cabinet,40.00,0.00,1.00,FALSE
DRW_SET_HAF_516.20.302,Matrix Drawer - 350mmD x 89mmH Black,"Matrix Box S Slim Drawer Set, 35 kg, 89 mm High, Soft and Smooth Closing",11.00,0.00,1.00,FALSE
DRW_SET_HAF_516.23.302,Matrix Drawer - 350mmD x 135mmH Black,"Matrix Box S Slim Drawer Set, 35 kg, 135 mm High, Soft and Smooth Closing",12.50,0.00,4.00,FALSE
HAN_PUL_HAF_101.21.000,Barchester 240mm Pull Antique Bronze,Barchester 240mm Pull Handle knurled Antique Bronze,2.45,0.00,5.00,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.11,0.00,3.00,FALSE
HRL_PDR_HAF_807.47.260,Pull Out Trouser Rail,"Pull Out Trouser Holder, Under Mounted, Off Centre Fitting",50.00,0.00,1.00,FALSE
LGT_DRV_TLW_K10-1250-PLUG3A,12V LED Driver - 50W c/w micro connector & 3A Plug,12V LED Driver - 50W c/w micro connector & 3A Plug,17.52,0.00,3.00,FALSE
PFT_FOT_HAF_637.76.351,AXILO 78 - Foot and Shaft Section,AXILO 78 - Foot and Shaft Section,0.66,0.00,4.00,FALSE
PFT_TOP_HAF_637.76.333,AXILO 78 - Plinth Foot Top Section,AXILO 78 - Plinth Foot Top Section,0.30,0.00,4.00,FALSE
