Sku,Name,Description,CostPrice,SellPrice,Quantity,Billable
GLS_MIR_FSG_SILV_1070,Silver Mirror 4mm Safety backed 2440 x 1070,Silver Mirror 4mm 2440 x 1070,32.64,0.0,2.0,FALSE
GLS_MIR_FSG_SILV_1220,Silver Mirror 4mm Safety backed 2440 x 1220,Silver Mirror 4mm 2440 x 1220,37.21,0.0,2.0,FALSE
GLS_MIR_FSG_SILV_960,Silver Mirror 4mm Safety backed 2440 x 960,Silver Mirror 4mm 2440 x 960,29.28,0.0,2.0,FALSE
SLD_TRR_RAU_10.01.018,Top Roller S751,Top Roller S751,2.2,0.0,4.0,FALSE
SLD_DPO_RAU_10.01.026,Door Positioner,Door Positioner,0.39,0.0,2.0,FALSE
SLD_DBC_RAU_10.01.039,Dust Brush Clip,Dust Brush Clip,0.07,0.0,8.0,FALSE
SLD_RPH_RAU_10.01.070,Reinforcement for Punching Holes,Reinforcement for Punching Holes,0.32,0.0,4.0,FALSE
SLD_BRA_RAU_10.01.120,Bottom Roller Incl. Antijump,Bottom Roller Incl. Antijump,3.24,0.0,4.0,FALSE
SLD_SDF_RAU_10.07.012,Screw Door Frame - 32mm,Screw Door Frame - 32mm,0.25,0.0,8.0,FALSE
SLD_GKT_RAU_10.07.031,Gasket - 4mm - transparent,Gasket - 4mm - transparent,0.53,0.0,13,FALSE
SLD_DEB_RAU_10.07.220,Dust Excluding Brush - Black,Dust Excluding Brush - Black,0.74,0.0,10,FALSE
SLD_BRB_RAU_15.04.065,Bottom rail - Black Mat,Bottom rail - Black Mat,36.77,0.0,1,FALSE
SLD_BTMB_RAU_15.05.065,Bottom Track Double Surface Black Mat,Bottom Track Double Surface Black Mat,21.88,0.0,1,FALSE
SLD_BLMT_RAU_15.11.066,S751 - Black Mat,S751 - Black Mat,26.09,0.0,2,FALSE
SLD_TRBM_RAU_15.12.065,Top Rail - Black Mat,Top Rail - Black Mat,18.76,0.0,1,FALSE
SLD_TTBM_RAU_15.25.065,Top Track Double S34 40mm Black Mat,"Top Track Double S34, 40mm Black Mat",38.12,0.0,1,FALSE
HRL_BAR_HAF_801.19.243,Wardrobe Rail,W/Robe Rail (Oval) 30x15x0.6mm x3.0m CP (Chrome),3.105,0.0,4.0,FALSE
